"PIPELINEID","STATUS","PARTNERID","COMMIT","PROBABLE","UPSIDE","SALESORDER","EXPECTEDCLOSINGDATE","PRODUCTID","CREATEDBY","CREATEDAT"
"0400000001",2,"100000010",0,471939,337100,,"2021-10-30","HB-1175","0000000014","2020-09-02"
"0400000002",2,"100000003",436650,378430,291100,,"2021-06-07","RC-1055","0000000020","2020-03-21"
"0400000003",2,"100000015",120600,0,120600,,"2021-12-03","RC-1051","0000000009","2020-01-30"
"0400000004",1,"100000002",0,419760,349800,,"2021-04-28","CC-1022","0000000021","2020-07-23"
"0400000005",3,"100000007",0,0,212800,,"2022-05-07","BX-1015","0000000025","2019-12-27"
"0400000006",1,"100000033",0,0,69000,,"2021-04-07","MB-1034","0000000018","2020-01-23"
"0400000007",1,"100000018",0,0,491600,,"2022-07-15","EB-1134","0000000014","2020-03-16"
"0400000008",1,"100000009",0,488200,488200,,"2022-07-06","MB-1032","0000000007","2020-07-10"
"0400000009",5,"100000005",218400,245700,136500,,"2020-05-05","EB-1133","0000000020","2019-09-22"
"0400000010",2,"100000032",685260,0,380700,,"2022-01-31","RC-1054","0000000003","2020-03-05"
"0400000011",5,"100000018",262390,151910,138100,,"2020-03-27","RO-1001","0000000011","2019-07-06"
"0400000012",4,"100000028",183520,0,114700,,"2020-05-10","RC-1052","0000000027","2020-02-24"
"0400000013",4,"100000026",220780,0,157700,,"2020-09-17","BX-1016","0000000009","2020-09-01"
"0400000014",2,"100000014",110810,284940,158300,,"2022-08-19","RC-1053","0000000026","2020-03-04"
"0400000015",3,"100000014",564300,300960,376200,,"2021-04-16","MB-1032","0000000021","2020-04-21"
"0400000016",1,"100000014",0,0,482600,,"2021-11-30","EB-1134","0000000024","2020-06-11"
"0400000017",5,"100000036",209640,0,174700,,"2020-03-24","DB-1081","0000000023","2019-11-21"
"0400000018",4,"100000032",793920,0,496200,,"2020-03-20","MB-1033","0000000009","2019-11-21"
"0400000019",3,"100000027",0,0,229200,,"2021-01-30","MB-1034","0000000019","2020-09-02"
"0400000020",5,"100000010",492659,316710,351900,,"2020-07-30","CC-1023","0000000014","2020-05-26"
"0400000021",3,"100000023",0,457980,269400,,"2021-12-03","EB-1133","0000000020","2020-04-29"
